Series ID,Year,Month,Spendings
CUUR0000SS61031,2018, Jan,149.85
CUUR0000SS61031,2018, Feb,150.16
CUUR0000SS61031,2018, Mar,150.25
CUUR0000SS61031,2018, Apr,150.77
CUUR0000SS61031,2018, May,150.79
CUUR0000SS61031,2018, Jun,150.99
CUUR0000SS61031,2018, Jul,150.83
CUUR0000SS61031,2018, Aug,150.31
CUUR0000SS61031,2018, Sep,150.7
CUUR0000SS61031,2018, Oct,150.92
CUUR0000SS61031,2018, Nov,150.88
CUUR0000SS61031,2018, Dec,151
CUUR0000SS61031,2019, Jan,151.72
CUUR0000SS61031,2019, Feb,152.73
CUUR0000SS61031,2019, Mar,153.47
CUUR0000SS61031,2019, Apr,154.08
CUUR0000SS61031,2019, May,154.99
CUUR0000SS61031,2019, Jun,155.16
CUUR0000SS61031,2019, Jul,156.35
CUUR0000SS61031,2019, Aug,156.18
CUUR0000SS61031,2019, Sep,155.66
CUUR0000SS61031,2019, Oct,156.53
CUUR0000SS61031,2019, Nov,156.5
CUUR0000SS61031,2019, Dec,156.21
CUUR0000SS61031,2020, Jan,155.69
CUUR0000SS61031,2020, Feb,156.74
CUUR0000SS61031,2020, Mar,156.25
CUUR0000SS61031,2020, Apr,155.79
CUUR0000SS61031,2020, May,155.3
CUUR0000SS61031,2020, Jun,154.13
CUUR0000SS61031,2020, Jul,154.04
CUUR0000SS61031,2020, Aug,155.27
CUUR0000SS61031,2020, Sep,154.38
CUUR0000SS61031,2020, Oct,153.82
CUUR0000SS61031,2020, Nov,155.06
CUUR0000SS61031,2020, Dec,155.04
CUUR0000SS61031,2021, Jan,154.96
CUUR0000SS61031,2021, Feb,155.24
CUUR0000SS61031,2021, Mar,155.47
CUUR0000SS61031,2021, Apr,155.77
CUUR0000SS61031,2021, May,155.28
CUUR0000SS61031,2021, Jun,155.51
CUUR0000SS61031,2021, Jul,156.41
CUUR0000SS61031,2021, Aug,156.02
CUUR0000SS61031,2021, Sep,156.84
CUUR0000SS61031,2021, Oct,157.04
CUUR0000SS61031,2021, Nov,157.43
CUUR0000SS61031,2021, Dec,158.73
CUUR0000SS61031,2022, Jan,159.18
CUUR0000SS61031,2022, Feb,160.93
CUUR0000SS61031,2022, Mar,164.71
CUUR0000SS61031,2022, Apr,166.72
CUUR0000SS61031,2022, May,169.34
CUUR0000SS61031,2022, Jun,171.52
CUUR0000SS61031,2022, Jul,173.51
CUUR0000SS61031,2022, Aug,176.47
CUUR0000SS61031,2022, Sep,178.73
CUUR0000SS61031,2022, Oct,180.59
CUUR0000SS61031,2022, Nov,182.12
CUUR0000SS61031,2022, Dec,182.82
CUUR0000SS61031,2023, Jan,183.17
CUUR0000SS61031,2023, Feb,185.33
CUUR0000SS61031,2023, Mar,188.38
CUUR0000SS61031,2023, Apr,191.06
CUUR0000SS61031,2023, May,192.67
CUUR0000SS61031,2023, Jun,192.22
